order_item_id,order_id,product_id,quantity,unit_price_at_purchase
OI0000001,ORD000991,P0001,1,
OI0000002,ORD000991,P0016,1,
OI0000003,ORD003237,P0022,1,
OI0000004,ORD003237,P0011,1,
OI0000005,ORD003345,P0005,1,
OI0000006,ORD003345,P0014,1,
OI0000007,ORD000300,P0005,1,
OI0000008,ORD001888,P0008,3,
OI0000009,ORD002137,P0025,1,
OI0000010,ORD002137,P0017,1,
OI0000011,ORD004813,P0007,2,
OI0000012,ORD003070,P0019,2,
OI0000013,ORD002291,P0018,1,
OI0000014,ORD003560,P0004,1,
OI0000015,ORD003697,P0024,1,
OI0000016,ORD003697,P0022,1,
OI0000017,ORD003697,P0006,1,
OI0000018,ORD000454,P0005,2,
OI0000019,ORD000454,P0011,2,
OI0000020,ORD000305,P0017,2,
OI0000021,ORD001218,P0006,1,
OI0000022,ORD001218,P0025,1,
OI0000023,ORD000600,P0024,1,
OI0000024,ORD001851,P0020,2,
OI0000025,ORD004693,P0016,1,
OI0000026,ORD002211,P0015,1,
OI0000027,ORD003576,P0007,1,
OI0000028,ORD003576,P0021,3,
OI0000029,ORD003576,P0003,1,
OI0000030,ORD002068,P0026,2,
OI0000031,ORD002068,P0015,1,
OI0000032,ORD003054,P0013,2,
OI0000033,ORD003054,P0011,1,
OI0000034,ORD004538,P0001,3,
OI0000035,ORD004538,P0005,1,
OI0000036,ORD003911,P0021,1,
OI0000037,ORD004695,P0019,1,
OI0000038,ORD004695,P0005,2,
OI0000039,ORD001206,P0019,1,
OI0000040,ORD001206,P0023,2,
OI0000041,ORD001776,P0009,2,
OI0000042,ORD002752,P0015,1,
OI0000043,ORD002752,P0018,1,
OI0000044,ORD001874,P0011,2,
OI0000045,ORD004283,P0014,1,
OI0000046,ORD004283,P0011,1,
OI0000047,ORD003340,P0018,1,
OI0000048,ORD003340,P0022,1,
OI0000049,ORD003340,P0015,2,
OI0000050,ORD003340,P0015,1,
OI0000051,ORD001363,P0016,1,
OI0000052,ORD002440,P0017,-1,
OI0000053,ORD000325,P0006,1,
OI0000054,ORD000325,P0018,1,
OI0000055,ORD004947,P0014,1,
OI0000056,ORD004947,P0001,2,
OI0000057,ORD002790,P0013,1,
OI0000058,ORD002790,P0008,1,
OI0000059,ORD003816,P0021,2,
OI0000060,ORD002184,P0011,2,
OI0000061,ORD002184,P0018,2,
OI0000062,ORD001495,P0019,1,
OI0000063,ORD000091,P0021,2,
OI0000064,ORD000091,P0004,1,
OI0000065,ORD000444,P0021,2,
OI0000066,ORD000444,P0001,3,
OI0000067,ORD000444,P0013,2,
OI0000068,ORD003417,P0004,1,
OI0000069,ORD003417,P0019,1,
OI0000070,ORD002819,P0018,1,
OI0000071,ORD001286,P0008,1,
OI0000072,ORD001286,P0023,1,
OI0000073,ORD001286,P0014,1,
OI0000074,ORD003941,P0002,1,
OI0000075,ORD003014,P0011,1,
OI0000076,ORD001330,P0026,2,
OI0000077,ORD001330,P0008,-1,
OI0000078,ORD001330,P0007,1,
OI0000079,ORD004066,P0016,1,
OI0000080,ORD004219,P0026,1,
OI0000081,ORD004219,P0007,1,
OI0000082,ORD000063,P0022,2,
OI0000083,ORD000063,P0011,1,
OI0000084,ORD004629,P0021,1,
OI0000085,ORD002219,P0024,1,
OI0000086,ORD002219,P0009,2,
OI0000087,ORD004181,P0012,-1,
OI0000088,ORD002796,P0003,1,
OI0000089,ORD001957,P0002,1,
OI0000090,ORD004607,P0008,3,
OI0000091,ORD004607,P0026,1,
OI0000092,ORD004725,P0015,1,
OI0000093,ORD003303,P0025,1,
OI0000094,ORD000157,P0021,1,
OI0000095,ORD002458,P0018,1,
OI0000096,ORD002458,P0005,1,
OI0000097,ORD002511,P0021,1,
OI0000098,ORD002511,P0014,1,
OI0000099,ORD002511,P0009,1,
OI0000100,ORD002611,P0001,3,
OI0000101,ORD002611,P0008,2,
OI0000102,ORD002611,P0014,2,
OI0000103,ORD002556,P0001,1,
OI0000104,ORD003837,P0011,1,
OI0000105,ORD001441,P0007,2,
OI0000106,ORD001441,P0012,1,
OI0000107,ORD001154,P0006,1,
OI0000108,ORD002363,P0015,1,
OI0000109,ORD000168,P0025,2,
OI0000110,ORD000168,P0023,1,
OI0000111,ORD000168,P0019,2,
OI0000112,ORD000168,P0011,1,
OI0000113,ORD003846,P0021,1,
OI0000114,ORD003846,P0008,1,
OI0000115,ORD001020,P0024,1,
