cohort_month,cohort_customers,month_number,active_customers,retention_pct
2022-01,10,12,1,10.0
2022-01,10,13,1,10.0
2022-01,10,14,1,10.0
2022-01,10,15,3,30.0
2022-01,10,16,2,20.0
2022-01,10,17,3,30.0
2022-01,10,18,2,20.0
2022-01,10,19,2,20.0
2022-01,10,20,2,20.0
2022-01,10,23,2,20.0
2022-01,10,24,2,20.0
2022-01,10,27,2,20.0
2022-01,10,28,1,10.0
2022-01,10,29,3,30.0
2022-01,10,30,1,10.0
2022-01,10,31,3,30.0
2022-01,10,33,4,40.0
2022-01,10,34,2,20.0
2022-01,10,36,2,20.0
2022-01,10,37,5,50.0
2022-01,10,38,1,10.0
2022-01,10,39,4,40.0
2022-01,10,40,1,10.0
2022-01,10,41,2,20.0
2022-01,10,42,3,30.0
2022-01,10,43,2,20.0
2022-01,10,45,3,30.0
2022-01,10,46,1,10.0
2022-01,10,47,1,10.0
2022-02,7,11,1,14.3
2022-02,7,15,2,28.6
2022-02,7,16,2,28.6
2022-02,7,17,3,42.9
2022-02,7,18,1,14.3
2022-02,7,19,2,28.6
2022-02,7,20,1,14.3
2022-02,7,21,1,14.3
2022-02,7,23,1,14.3
2022-02,7,24,2,28.6
2022-02,7,27,2,28.6
2022-02,7,30,2,28.6
2022-02,7,32,2,28.6
2022-02,7,33,3,42.9
2022-02,7,35,1,14.3
2022-02,7,36,1,14.3
2022-02,7,37,2,28.6
2022-02,7,38,3,42.9
2022-02,7,39,2,28.6
2022-02,7,40,1,14.3
2022-02,7,41,2,28.6
2022-02,7,42,1,14.3
2022-02,7,43,2,28.6
2022-02,7,44,1,14.3
2022-02,7,45,1,14.3
2022-02,7,46,1,14.3
2022-03,8,10,1,12.5
2022-03,8,11,1,12.5
2022-03,8,13,2,25.0
2022-03,8,15,2,25.0
2022-03,8,16,4,50.0
2022-03,8,18,2,25.0
2022-03,8,19,3,37.5
2022-03,8,20,2,25.0
2022-03,8,21,2,25.0
2022-03,8,22,3,37.5
2022-03,8,23,2,25.0
2022-03,8,24,2,25.0
2022-03,8,25,1,12.5
2022-03,8,28,2,25.0
2022-03,8,29,4,50.0
2022-03,8,33,1,12.5
2022-03,8,34,1,12.5
2022-03,8,35,1,12.5
2022-03,8,36,1,12.5
