Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Product Name,Price,Quantity,Discount,total_amount
280,ORD-1280,2023-03-13,2023-03-20,Same Day,CUST-193,Consumer,South,Pennsylvania,Office Supplies,Supplies,Supplies Item 4,$467.98,1,0.15,$467.98
103,ORD-1103,2023-06-21,2023-06-23,Same Day,CUST-153,Consumer,West,New York,Furniture,Bookcases,Bookcases Item 33,$525.62,7,0.1,"$3,679.34"
172,ORD-1172,2023-12-12,2023-12-15,Standard Class,CUST-170,Consumer,South,Pennsylvania,Technology,Accessories,Accessories Item 28,$456.39,3,0.15,"$1,369.17"
171,ORD-1171,2023-12-02,2023-12-05,Same Day,CUST-184,Home Office,East,Arizona,Furniture,Tables,Tables Item 44,$109.00,5,0,$545.00
39,ORD-1039,2023-07-30,2023-08-01,Standard Class,CUST-111,Corporate,West,Pennsylvania,Furniture,Tables,Tables Item 3,$99.35,7,0,$695.45
265,ORD-1265,2023-04-16,2023-04-22,Same Day,CUST-122,Consumer,East,Arizona,Furniture,Tables,Tables Item 26,$416.83,4,0.2,"$1,667.32"
133,ORD-1133,2023-01-30,2023-02-01,Standard Class,CUST-115,Consumer,East,Florida,Technology,Phones,Phones Item 30,$405.38,6,0,"$2,432.28"
160,ORD-1160,2023-04-16,2023-04-23,Second Class,CUST-106,Home Office,West,Washington,Office Supplies,Supplies,Supplies Item 40,$151.77,4,0.3,$607.08
38,ORD-1038,2023-05-11,2023-05-13,Same Day,CUST-179,Consumer,Central,Arizona,Technology,Accessories,Accessories Item 8,$506.85,5,0,"$2,534.25"
82,ORD-1082,2023-09-22,2023-09-25,Second Class,CUST-151,Home Office,Central,Arizona,Technology,Phones,Phones Item 43,$267.48,5,0.2,"$1,337.40"
275,ORD-1275,2023-12-17,2023-12-24,Same Day,CUST-147,Corporate,Central,Arizona,Furniture,Furnishings,Furnishings Item 24,$200.38,6,0,"$1,202.28"
61,ORD-1061,2023-11-28,2023-11-29,Same Day,CUST-100,Consumer,West,Georgia,Furniture,Furnishings,Furnishings Item 31,$441.61,8,0,"$3,532.88"
228,ORD-1228,2023-03-23,2023-03-25,Second Class,CUST-105,Corporate,East,Pennsylvania,Furniture,Chairs,Chairs Item 21,$286.47,1,0.15,$286.47
270,ORD-1270,2023-10-22,2023-10-25,Standard Class,CUST-131,Corporate,West,New York,Office Supplies,Fasteners,Fasteners Item 10,$468.38,8,0.1,"$3,747.04"
67,ORD-1067,2023-07-17,2023-07-20,Standard Class,CUST-155,Corporate,South,Illinois,Furniture,Bookcases,Bookcases Item 33,$517.56,2,0,"$1,035.12"
130,ORD-1130,2023-02-02,2023-02-09,Same Day,CUST-162,Home Office,Central,Georgia,Furniture,Tables,Tables Item 6,$141.83,2,0,$283.66
139,ORD-1139,2023-02-23,2023-02-25,Standard Class,CUST-153,Home Office,West,California,Office Supplies,Supplies,Supplies Item 13,$20.41,4,0,$81.64
58,ORD-1058,2023-01-05,2023-01-08,Second Class,CUST-188,Home Office,East,Washington,Furniture,Tables,Tables Item 6,$548.38,1,0.3,$548.38
89,ORD-1089,2023-08-21,2023-08-24,Same Day,CUST-111,Consumer,West,Washington,Office Supplies,Fasteners,Fasteners Item 39,$271.38,8,0.3,"$2,171.04"
123,ORD-1123,2023-05-06,2023-05-10,First Class,CUST-170,Corporate,East,Ohio,Furniture,Chairs,Chairs Item 19,$286.29,1,0.2,$286.29
85,ORD-1085,2023-04-05,2023-04-06,Second Class,CUST-189,Home Office,Central,New York,Furniture,Chairs,Chairs Item 16,$330.77,5,0,"$1,653.85"
262,ORD-1262,2023-07-07,2023-07-14,Standard Class,CUST-147,Corporate,Central,Arizona,Office Supplies,Art,Art Item 49,$250.01,5,0,"$1,250.05"
4,ORD-1004,2023-01-25,2023-02-01,Standard Class,CUST-185,Home Office,East,Pennsylvania,Office Supplies,Storage,Storage Item 10,$258.83,4,0,"$1,035.32"
90,ORD-1090,2023-04-29,2023-05-06,Same Day,CUST-139,Consumer,East,Ohio,Office Supplies,Art,Art Item 5,$307.28,5,0.2,"$1,536.40"
285,ORD-1285,2023-07-17,2023-07-19,Standard Class,CUST-108,Home Office,South,Georgia,Technology,Machines,Machines Item 17,$286.47,4,0.1,"$1,145.86"
278,ORD-1278,2023-11-12,2023-11-14,Second Class,CUST-143,Consumer,Central,Texas,Furniture,Chairs,Chairs Item 9,$454.13,5,0.3,"$2,270.65"
129,ORD-1129,2023-06-24,2023-06-26,First Class,CUST-117,Corporate,East,Texas,Technology,Copiers,Copiers Item 24,$145.65,2,0,$291.30
156,ORD-1156,2023-12-30,2024-01-05,Same Day,CUST-173,Consumer,Central,Ohio,Furniture,Furnishings,Furnishings Item 23,$286.47,5,0.15,"$1,432.33"
177,ORD-1177,2023-04-20,2023-04-25,Same Day,CUST-120,Home Office,West,New York,Technology,Phones,Phones Item 11,$234.81,5,0,"$1,174.05"
31,ORD-1031,2023-10-07,2023-10-12,Standard Class,CUST-119,Home Office,East,Texas,Office Supplies,Fasteners,Fasteners Item 36,$407.49,7,0,"$2,852.43"
91,ORD-1091,2023-06-12,2023-06-18,Same Day,CUST-103,Consumer,Central,Arizona,Furniture,Bookcases,Bookcases Item 3,$63.67,8,0.15,$509.36
15,ORD-1015,2023-05-04,2023-05-11,Standard Class,CUST-187,Corporate,East,New York,Technology,Phones,Phones Item 14,$533.17,3,0.2,"$1,599.51"
116,ORD-1116,2023-09-02,2023-09-07,Same Day,CUST-116,Home Office,South,California,Office Supplies,Paper,Paper Item 50,$6.19,8,0,$49.52
115,ORD-1115,2023-11-05,2023-11-10,Standard Class,CUST-170,Home Office,Central,California,Technology,Accessories,Accessories Item 45,$328.23,2,0,$656.46
162,ORD-1162,2023-10-18,2023-10-23,Same Day,CUST-195,Consumer,East,Texas,Furniture,Furnishings,Furnishings Item 26,$55.98,6,0.2,$335.88
149,ORD-1149,2023-09-12,2023-09-15,Standard Class,CUST-142,Consumer,West,Georgia,Technology,Copiers,Copiers Item 5,$368.45,2,0.15,$736.90
224,ORD-1224,2023-06-10,2023-06-17,First Class,CUST-187,Corporate,East,Florida,Technology,Accessories,Accessories Item 24,$48.31,6,0,$289.86
140,ORD-1140,2023-01-01,2023-01-04,First Class,CUST-158,Consumer,Central,Arizona,Furniture,Bookcases,Bookcases Item 21,$294.41,6,0,"$1,766.46"
66,ORD-1066,2023-05-18,2023-05-25,Second Class,CUST-144,Corporate,East,Illinois,Office Supplies,Paper,Paper Item 32,$316.54,4,0,"$1,266.16"
3,ORD-1003,2023-06-14,2023-06-16,Same Day,CUST-153,Home Office,West,Georgia,Technology,Copiers,Copiers Item 42,$348.89,2,0.2,$697.78
227,ORD-1227,2023-10-01,2023-10-03,First Class,CUST-158,Corporate,East,New York,Furniture,Tables,Tables Item 18,$308.12,5,0,"$1,540.60"
284,ORD-1284,2023-03-14,2023-03-20,First Class,CUST-123,Corporate,South,New York,Technology,Copiers,Copiers Item 47,$144.81,1,0.15,$144.81
290,ORD-1290,2023-05-03,2023-05-07,Standard Class,CUST-137,Home Office,East,Texas,Technology,Phones,Phones Item 19,$293.62,2,0.15,$587.24
128,ORD-1128,2023-01-18,2023-01-21,Same Day,CUST-191,Home Office,West,California,Furniture,Furnishings,Furnishings Item 5,$415.41,5,0.3,"$2,077.05"
74,ORD-1074,2023-10-27,2023-10-28,Same Day,CUST-126,Corporate,Central,New York,Office Supplies,Envelopes,Envelopes Item 9,$175.39,1,0.2,$175.39
221,ORD-1221,2023-04-12,2023-04-14,Standard Class,CUST-134,Consumer,West,Illinois,Technology,Machines,Machines Item 24,$218.06,6,0,"$1,308.36"
246,ORD-1246,2023-03-17,2023-03-20,Same Day,CUST-158,Consumer,South,Arizona,Furniture,Bookcases,Bookcases Item 42,$17.35,4,0,$69.40
178,ORD-1178,2023-08-26,2023-09-02,Same Day,CUST-130,Corporate,Central,Illinois,Furniture,Chairs,Chairs Item 3,$199.12,3,0,$597.36
283,ORD-1283,2023-05-18,2023-05-20,Second Class,CUST-144,Corporate,East,Washington,Office Supplies,Paper,Paper Item 37,$121.52,8,0.3,$972.16
71,ORD-1071,2023-07-19,2023-07-24,Second Class,CUST-162,Corporate,Central,Illinois,Technology,Accessories,Accessories Item 40,$303.83,2,0.1,$607.66
269,ORD-1269,2023-01-14,2023-01-17,Second Class,CUST-152,Consumer,South,California,Office Supplies,Storage,Storage Item 26,$351.62,4,0,"$1,406.48"
299,ORD-1299,2023-05-27,2023-05-30,Standard Class,CUST-168,Corporate,Central,Ohio,Technology,Copiers,Copiers Item 19,$469.53,1,0.15,$469.53
100,ORD-1100,2023-11-22,2023-11-29,Standard Class,CUST-150,Home Office,South,Illinois,Technology,Copiers,Copiers Item 30,$360.78,1,0,$360.78
