order_month,revenue,prev_month_revenue,mom_growth_pct
2023-01,935195.79,,
2023-02,954271.32,935195.79,2.0
2023-03,936108.23,954271.32,-1.9
2023-04,890197.49,936108.23,-4.9
2023-05,1040290.08,890197.49,16.9
2023-06,869382.51,1040290.08,-16.4
2023-07,1123325.87,869382.51,29.2
2023-08,1164998.23,1123325.87,3.7
2023-09,1036636.93,1164998.23,-11.0
2023-10,909286.0,1036636.93,-12.3
2023-11,857175.5,909286.0,-5.7
2023-12,1169829.57,857175.5,36.5
2024-01,944318.43,1169829.57,-19.3
2024-02,867309.34,944318.43,-8.2
2024-03,1131542.5,867309.34,30.5
2024-04,774935.81,1131542.5,-31.5
2024-05,1081420.83,774935.81,39.5
2024-06,804697.14,1081420.83,-25.6
2024-07,766189.25,804697.14,-4.8
2024-08,1208398.48,766189.25,57.7
2024-09,760885.97,1208398.48,-37.0
2024-10,981326.86,760885.97,29.0
2024-11,877980.45,981326.86,-10.5
2024-12,804941.88,877980.45,-8.3
2025-01,812148.27,804941.88,0.9
2025-02,892144.71,812148.27,9.8
2025-03,937981.02,892144.71,5.1
2025-04,904432.71,937981.02,-3.6
2025-05,894678.25,904432.71,-1.1
2025-06,855927.05,894678.25,-4.3
2025-07,1005730.03,855927.05,17.5
2025-08,906826.14,1005730.03,-9.8
2025-09,911021.64,906826.14,0.5
2025-10,886200.69,911021.64,-2.7
2025-11,985569.68,886200.69,11.2
2025-12,1077238.34,985569.68,9.3
